layer,step,ok,skipped,seconds,returncode,stdout,stderr
ml2,build_ds_harvest_start_ml2_v2,1,0,25.283,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260219_172640\ml2__build_ds_harvest_start_ml2_v2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260219_172640\ml2__build_ds_harvest_start_ml2_v2.err.log
ml2,train_harvest_start_ml2,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260219_172640\ml2__train_harvest_start_ml2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260219_172640\ml2__train_harvest_start_ml2.err.log
ml2,apply_harvest_start_ml2,1,0,5.244,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260219_172640\ml2__apply_harvest_start_ml2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260219_172640\ml2__apply_harvest_start_ml2.err.log
ml2,build_ds_harvest_horizon_ml2_v2,1,0,32.034,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260219_172640\ml2__build_ds_harvest_horizon_ml2_v2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260219_172640\ml2__build_ds_harvest_horizon_ml2_v2.err.log
ml2,train_harvest_horizon_ml2,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260219_172640\ml2__train_harvest_horizon_ml2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260219_172640\ml2__train_harvest_horizon_ml2.err.log
ml2,apply_harvest_horizon_ml2,1,0,4.479,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260219_172640\ml2__apply_harvest_horizon_ml2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260219_172640\ml2__apply_harvest_horizon_ml2.err.log
ml2,universe_harvest_grid_ml2,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260219_172640\ml2__universe_harvest_grid_ml2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260219_172640\ml2__universe_harvest_grid_ml2.err.log
ml2,build_ds_tallos_curve_ml2_v2,1,0,1.042,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260219_172640\ml2__build_ds_tallos_curve_ml2_v2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260219_172640\ml2__build_ds_tallos_curve_ml2_v2.err.log
ml2,train_tallos_curve_ml2,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260219_172640\ml2__train_tallos_curve_ml2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260219_172640\ml2__train_tallos_curve_ml2.err.log
ml2,apply_tallos_curve_ml2,1,0,3.679,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260219_172640\ml2__apply_tallos_curve_ml2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260219_172640\ml2__apply_tallos_curve_ml2.err.log
ml2,build_ds_share_grado_ml2_v1,1,0,1.817,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260219_172640\ml2__build_ds_share_grado_ml2_v1.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260219_172640\ml2__build_ds_share_grado_ml2_v1.err.log
ml2,train_share_grado_ml2,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260219_172640\ml2__train_share_grado_ml2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260219_172640\ml2__train_share_grado_ml2.err.log
ml2,apply_share_grado_ml2,1,0,6.481,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260219_172640\ml2__apply_share_grado_ml2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260219_172640\ml2__apply_share_grado_ml2.err.log
ml2,build_ds_peso_tallo_ml2_v1,1,0,1.705,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260219_172640\ml2__build_ds_peso_tallo_ml2_v1.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260219_172640\ml2__build_ds_peso_tallo_ml2_v1.err.log
ml2,train_peso_tallo_ml2,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260219_172640\ml2__train_peso_tallo_ml2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260219_172640\ml2__train_peso_tallo_ml2.err.log
ml2,apply_peso_tallo_ml2,1,0,9.788,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260219_172640\ml2__apply_peso_tallo_ml2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260219_172640\ml2__apply_peso_tallo_ml2.err.log
ml2,build_ds_dh_poscosecha_ml2_v1,1,0,2.167,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260219_172640\ml2__build_ds_dh_poscosecha_ml2_v1.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260219_172640\ml2__build_ds_dh_poscosecha_ml2_v1.err.log
ml2,train_dh_poscosecha_ml2,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260219_172640\ml2__train_dh_poscosecha_ml2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260219_172640\ml2__train_dh_poscosecha_ml2.err.log
ml2,apply_dh_poscosecha_ml2,0,0,0.712,2,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260219_172640\ml2__apply_dh_poscosecha_ml2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260219_172640\ml2__apply_dh_poscosecha_ml2.err.log
