layer,step,ok,skipped,seconds,returncode,stdout,stderr
ml2,build_ds_harvest_start_ml2_v2,1,0,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_104159\ml2__build_ds_harvest_start_ml2_v2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_104159\ml2__build_ds_harvest_start_ml2_v2.err.log
ml2,train_harvest_start_ml2,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_104159\ml2__train_harvest_start_ml2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_104159\ml2__train_harvest_start_ml2.err.log
ml2,apply_harvest_start_ml2,1,0,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_104159\ml2__apply_harvest_start_ml2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_104159\ml2__apply_harvest_start_ml2.err.log
ml2,build_ds_harvest_horizon_ml2_v2,1,0,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_104159\ml2__build_ds_harvest_horizon_ml2_v2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_104159\ml2__build_ds_harvest_horizon_ml2_v2.err.log
ml2,train_harvest_horizon_ml2,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_104159\ml2__train_harvest_horizon_ml2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_104159\ml2__train_harvest_horizon_ml2.err.log
ml2,apply_harvest_horizon_ml2,1,0,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_104159\ml2__apply_harvest_horizon_ml2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_104159\ml2__apply_harvest_horizon_ml2.err.log
ml2,universe_harvest_grid_ml2,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_104159\ml2__universe_harvest_grid_ml2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_104159\ml2__universe_harvest_grid_ml2.err.log
ml2,build_ds_tallos_curve_ml2_v2,1,0,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_104159\ml2__build_ds_tallos_curve_ml2_v2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_104159\ml2__build_ds_tallos_curve_ml2_v2.err.log
ml2,train_tallos_curve_ml2,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_104159\ml2__train_tallos_curve_ml2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_104159\ml2__train_tallos_curve_ml2.err.log
ml2,apply_tallos_curve_ml2,1,0,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_104159\ml2__apply_tallos_curve_ml2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_104159\ml2__apply_tallos_curve_ml2.err.log
ml2,build_ds_share_grado_ml2_v1,1,0,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_104159\ml2__build_ds_share_grado_ml2_v1.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_104159\ml2__build_ds_share_grado_ml2_v1.err.log
ml2,train_share_grado_ml2,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_104159\ml2__train_share_grado_ml2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_104159\ml2__train_share_grado_ml2.err.log
ml2,apply_share_grado_ml2,1,0,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_104159\ml2__apply_share_grado_ml2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_104159\ml2__apply_share_grado_ml2.err.log
ml2,build_ds_peso_tallo_ml2_v1,1,0,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_104159\ml2__build_ds_peso_tallo_ml2_v1.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_104159\ml2__build_ds_peso_tallo_ml2_v1.err.log
ml2,train_peso_tallo_ml2,1,1,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_104159\ml2__train_peso_tallo_ml2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_104159\ml2__train_peso_tallo_ml2.err.log
ml2,apply_peso_tallo_ml2,1,0,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_104159\ml2__apply_peso_tallo_ml2.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_104159\ml2__apply_peso_tallo_ml2.err.log
ml2,build_ds_dh_poscosecha_ml2_v1,1,0,0.000,0,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_104159\ml2__build_ds_dh_poscosecha_ml2_v1.out.log,C:\Users\paul.loja\PYPROYECTOS\Data-LakeHouse\Data-LakeHouse\src\run_logs\run_20260220_104159\ml2__build_ds_dh_poscosecha_ml2_v1.err.log
